1,ALABAMA,"[-86.766233, 33.001471]",440
2,ALASKA,"[-148.716968, 61.288254]",27
4,ARIZONA,"[-111.828711, 33.373506]",1073
5,ARKANSAS,"[-92.576816, 35.080251]",120
6,CALIFORNIA,"[-119.355165, 35.458606]",13392
8,COLORADO,"[-105.203628, 39.500656]",947
9,CONNECTICUT,"[-72.874365, 41.494852]",931
10,DELAWARE,"[-75.561908, 39.397164]",152
11,DISTRICT OF COLUMBIA,"[-77.014001, 38.910092]",314
12,FLORIDA,"[-81.634622, 27.79585]",5375
13,GEORGIA,"[-83.868887, 33.332208]",1355
15,HAWAII,"[-157.524452, 21.146768]",550
16,IDAHO,"[-115.133222, 44.242605]",69
17,ILLINOIS,"[-88.380238, 41.278216]",1909
18,INDIANA,"[-86.261515, 40.163935]",745
19,IOWA,"[-93.049161, 41.960392]",413
20,KANSAS,"[-96.536052, 38.454303]",247
21,KENTUCKY,"[-85.241819, 37.808159]",520
22,LOUISIANA,"[-91.457133, 30.69927]",308
23,MAINE,"[-69.719931, 44.313614]",123
24,MARYLAND,"[-76.797396, 39.145653]",1455
25,MASSACHUSETTS,"[-71.363628, 42.271831]",1990
26,MICHIGAN,"[-84.170753, 42.866412]",802
27,MINNESOTA,"[-93.583003, 45.210782]",541
28,MISSISSIPPI,"[-89.593164, 32.56642]",121
29,MISSOURI,"[-92.15377, 38.437715]",559
30,MONTANA,"[-111.209708, 46.813302]",48
31,NEBRASKA,"[-97.403875, 41.183753]",202
32,NEVADA,"[-116.304648, 37.165965]",559
33,NEW HAMPSHIRE,"[-71.463342, 43.153046]",400
34,NEW JERSEY,"[-74.428055, 40.438458]",2476
35,NEW MEXICO,"[-106.342108, 34.623012]",416
36,NEW YORK,"[-74.645228, 41.507548]",3475
37,NORTH CAROLINA,"[-79.667654, 35.553334]",1514
38,NORTH DAKOTA,"[-99.334736, 47.375168]",20
39,OHIO,"[-82.749366, 40.480854]",1214
40,OKLAHOMA,"[-96.834653, 35.59794]",338
41,OREGON,"[-122.579524, 44.732273]",657
42,PENNSYLVANIA,"[-77.075925, 40.463528]",1999
44,RHODE ISLAND,"[-71.448902, 41.753318]",289
45,SOUTH CAROLINA,"[-81.032387, 34.034551]",638
46,SOUTH DAKOTA,"[-99.043799, 44.047502]",30
47,TENNESSEE,"[-86.397772, 35.795862]",859
48,TEXAS,"[-97.388631, 30.943149]",4982
49,UTAH,"[-111.90016, 40.438987]",360
50,VERMONT,"[-72.814309, 44.081127]",116
51,VIRGINIA,"[-77.835857, 37.750345]",1998
53,WASHINGTON,"[-121.624501, 47.341728]",1553
54,WEST VIRGINIA,"[-80.820221, 38.767195]",108
55,WISCONSIN,"[-89.001006, 43.728544]",738
56,WYOMING,"[-107.008835, 42.675762]",42
